GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Rev-PasswordManager,com.revature.passwordmanager.service.sharing,ShareEncryptionService.ShareEncryptionResult,146,25,30,0,2,5,23,5,8,5
Rev-PasswordManager,com.revature.passwordmanager.service.sharing,ShareEncryptionService,7,101,0,0,2,24,0,4,0,4
Rev-PasswordManager,com.revature.passwordmanager.service.sharing,ShareTokenGenerator,0,31,0,4,0,6,0,4,0,2
Rev-PasswordManager,com.revature.passwordmanager.service.sharing,ShareEncryptionService.ShareEncryptionResult.ShareEncryptionResultBuilder,8,28,0,0,0,1,1,5,1,5
Rev-PasswordManager,com.revature.passwordmanager.service.sharing,ShareExpirationService,0,130,0,22,0,27,0,21,0,10
Rev-PasswordManager,com.revature.passwordmanager.service.sharing,SecureShareService,30,501,4,20,7,114,5,21,1,13
Rev-PasswordManager,com.revature.passwordmanager.aspect,AuditLogAspect,47,10,0,0,13,2,2,2,2,2
Rev-PasswordManager,com.revature.passwordmanager.aspect,LoggingAspect,78,47,3,3,10,9,5,3,2,3
Rev-PasswordManager,com.revature.passwordmanager.model.security,SecurityAlert.Severity,0,27,0,0,0,2,0,1,0,1
Rev-PasswordManager,com.revature.passwordmanager.model.security,StringListConverter,20,3,6,0,2,1,5,1,2,1
Rev-PasswordManager,com.revature.passwordmanager.model.security,SecurityAlert,127,260,50,16,0,12,31,27,0,25
Rev-PasswordManager,com.revature.passwordmanager.model.security,SecurityAlert.SecurityAlertBuilder,0,105,0,4,0,1,0,13,0,11
Rev-PasswordManager,com.revature.passwordmanager.model.security,AuditLog,104,199,41,13,0,10,25,21,0,19
Rev-PasswordManager,com.revature.passwordmanager.model.security,AuditLog.AuditAction,0,105,0,0,0,18,0,1,0,1
Rev-PasswordManager,com.revature.passwordmanager.model.security,PasswordAnalysis,89,184,33,11,0,10,20,21,0,19
Rev-PasswordManager,com.revature.passwordmanager.model.security,LoginAttempt.LoginAttemptBuilder,0,101,0,0,0,1,0,13,0,13
Rev-PasswordManager,com.revature.passwordmanager.model.security,LoginAttempt,176,285,66,16,0,14,39,29,0,27
Rev-PasswordManager,com.revature.passwordmanager.model.security,PasswordAnalysis.PasswordAnalysisBuilder,0,66,0,0,0,1,0,9,0,9
Rev-PasswordManager,com.revature.passwordmanager.model.security,SecurityAlert.AlertType,0,63,0,0,0,11,0,1,0,1
Rev-PasswordManager,com.revature.passwordmanager.model.security,AuditLog.AuditLogBuilder,0,66,0,0,0,1,0,9,0,9
Rev-PasswordManager,com.revature.passwordmanager.model.sharing,ShareToken,17,186,13,21,0,15,10,23,0,16
Rev-PasswordManager,com.revature.passwordmanager.model.sharing,SecureShare.SecureShareBuilder,0,171,0,8,0,1,0,20,0,16
Rev-PasswordManager,com.revature.passwordmanager.model.sharing,ShareToken.ShareTokenBuilder,0,38,0,0,0,1,0,6,0,6
Rev-PasswordManager,com.revature.passwordmanager.model.sharing,SecureShare,210,380,77,23,0,19,45,43,0,38
Rev-PasswordManager,com.revature.passwordmanager.model.sharing,SharePermission,0,21,0,0,0,4,0,1,0,1
Rev-PasswordManager,com.revature.passwordmanager.security,RateLimitFilter,11,39,1,1,4,8,1,2,0,2
Rev-PasswordManager,com.revature.passwordmanager.security,CustomUserDetailsService,35,6,0,0,6,1,3,1,3,1
Rev-PasswordManager,com.revature.passwordmanager.security,JwtTokenProvider,153,6,0,0,42,1,12,1,12,1
Rev-PasswordManager,com.revature.passwordmanager.security,JwtAuthenticationFilter,38,41,7,5,7,9,4,4,0,2
Rev-PasswordManager,com.revature.passwordmanager.security,MasterPasswordValidator,4,15,1,1,2,4,2,2,1,2
Rev-PasswordManager,com.revature.passwordmanager.service.analytics,TimelineEventEnricher,37,328,14,43,5,79,13,34,0,12
Rev-PasswordManager,com.revature.passwordmanager.service.analytics,AccessHeatmapService,2,194,1,17,0,43,1,10,0,2
Rev-PasswordManager,com.revature.passwordmanager.service.analytics,ActivityAggregator,21,95,2,10,4,18,4,9,2,5
Rev-PasswordManager,com.revature.passwordmanager.service.analytics,VaultTimelineService,113,1029,38,74,20,227,36,53,2,26
Rev-PasswordManager,com.revature.passwordmanager.util,DeviceFingerprintUtil,69,3,8,0,14,1,5,1,1,1
Rev-PasswordManager,com.revature.passwordmanager.util,PasswordValidator,10,3,4,0,1,1,3,1,1,1
Rev-PasswordManager,com.revature.passwordmanager.util,PasswordStrengthCalculator,7,130,4,38,4,43,4,20,0,3
Rev-PasswordManager,com.revature.passwordmanager.util,TOTPUtil,36,33,0,0,11,6,3,1,3,1
Rev-PasswordManager,com.revature.passwordmanager.util,ClientIpUtil,64,154,36,32,11,27,29,10,2,3
Rev-PasswordManager,com.revature.passwordmanager.util,DateTimeUtil,27,3,6,0,6,1,4,1,1,1
Rev-PasswordManager,com.revature.passwordmanager.util,EncryptionUtil,9,167,2,2,3,35,2,7,0,7
Rev-PasswordManager,com.revature.passwordmanager.service.backup,ExportService,88,449,9,22,17,91,9,18,0,11
Rev-PasswordManager,com.revature.passwordmanager.service.backup,ThirdPartyImportService,0,109,1,1,0,26,1,4,0,4
Rev-PasswordManager,com.revature.passwordmanager.service.backup,ImportService,322,592,39,43,78,126,35,22,5,10
Rev-PasswordManager,com.revature.passwordmanager.service.backup,ImportService.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
Rev-PasswordManager,com.revature.passwordmanager.service.backup,ImportService.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
Rev-PasswordManager,com.revature.passwordmanager.service.notification,NotificationService,25,197,3,3,4,51,5,10,2,10
Rev-PasswordManager,com.revature.passwordmanager.dto.response,RegenerateCodesResponse.RegenerateCodesResponseBuilder,0,37,0,0,0,1,0,6,0,6
